,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
409,3713351932.65,1.2,1.162,2.501,DC,DC
410,3713351935.16,1.2,1.162,2.501,DC,DC
411,3713351937.67,1.2,1.162,2.501,DC,DC
412,3713351940.18,1.2,1.162,2.501,DC,DC
413,3713351942.71,1.2,1.162,2.501,DC,DC
414,3713351945.21,1.2,1.162,2.501,DC,DC
415,3713351947.73,1.2,1.162,2.501,DC,DC
416,3713351950.23,1.2,1.162,2.501,DC,DC
417,3713351952.77,1.2,1.162,2.501,DC,DC
418,3713351955.29,1.2,1.162,2.501,DC,DC
419,3713351957.82,1.2,1.162,2.501,DC,DC
420,3713351960.32,1.2,1.162,2.501,DC,DC
421,3713351962.84,1.2,1.162,2.501,DC,DC
422,3713351965.34,1.2,1.162,2.501,DC,DC
423,3713351967.86,1.2,1.162,2.501,DC,DC
424,3713351970.38,1.2,1.162,2.501,DC,DC
425,3713351972.9,1.2,1.162,2.501,DC,DC
426,3713351975.41,1.2,1.162,2.501,DC,DC
427,3713351977.92,1.2,1.162,2.501,DC,DC
428,3713351980.43,1.2,1.162,2.501,DC,DC
429,3713351982.94,1.2,1.162,2.501,DC,DC
430,3713351985.46,1.2,1.162,2.501,DC,DC
431,3713351987.98,1.2,1.162,2.501,DC,DC
432,3713351990.51,1.2,1.162,2.501,DC,DC
433,3713351993.02,1.2,1.162,2.501,DC,DC
434,3713351995.53,1.2,1.162,2.501,DC,DC
435,3713351998.06,1.2,1.162,2.501,DC,DC
436,3713352000.58,1.2,1.162,2.501,DC,DC
437,3713352003.1,1.2,1.162,2.501,DC,DC
438,3713352005.62,1.2,1.162,2.501,DC,DC
439,3713352008.14,1.2,1.162,2.501,DC,DC
440,3713352010.66,1.2,1.162,2.501,DC,DC
441,3713352013.18,1.2,1.162,2.501,DC,DC
442,3713352015.7,1.2,1.163,2.501,DC,DC
443,3713352018.21,1.2,1.162,2.501,DC,DC
444,3713352020.73,1.2,1.162,2.501,DC,DC
445,3713352023.23,1.2,1.162,2.501,DC,DC
446,3713352025.75,1.2,1.162,2.501,DC,DC
447,3713352028.26,1.2,1.162,2.501,DC,DC
448,3713352030.76,1.2,1.163,2.501,DC,DC
449,3713352033.29,1.2,1.163,2.501,DC,DC
450,3713352035.83,1.2,1.163,2.501,DC,DC
451,3713352038.34,1.2,1.163,2.501,DC,DC
452,3713352040.85,1.2,1.163,2.501,DC,DC
453,3713352043.37,1.2,1.163,2.501,DC,DC
454,3713352045.88,1.2,1.163,2.501,DC,DC
455,3713352048.4,1.2,1.163,2.501,DC,DC
456,3713352050.92,1.2,1.163,2.501,DC,DC
457,3713352053.44,1.2,1.163,2.501,DC,DC
458,3713352055.97,1.2,1.162,2.501,DC,DC
459,3713352058.49,1.2,1.163,2.501,DC,DC
460,3713352061.01,1.2,1.163,2.501,DC,DC
461,3713352063.52,1.2,1.163,2.501,DC,DC
462,3713352066.04,1.2,1.162,2.501,DC,DC
463,3713352068.55,1.2,1.162,2.501,DC,DC
464,3713352071.07,1.2,1.163,2.501,DC,DC
465,3713352073.59,1.2,1.163,2.501,DC,DC
466,3713352076.11,1.2,1.163,2.501,DC,DC
467,3713352078.62,1.2,1.163,2.501,DC,DC
468,3713352081.13,1.2,1.162,2.501,DC,DC
469,3713352083.65,1.2,1.162,2.501,DC,DC
470,3713352086.17,1.2,1.162,2.501,DC,DC
471,3713352088.69,1.2,1.162,2.501,DC,DC
472,3713352091.2,1.2,1.162,2.501,DC,DC
473,3713352093.73,1.2,1.162,2.501,DC,DC
474,3713352096.23,1.2,1.162,2.501,DC,DC
475,3713352098.75,1.2,1.162,2.501,DC,DC
476,3713352101.27,1.2,1.162,2.501,DC,DC
477,3713352103.79,1.2,1.162,2.501,DC,DC
478,3713352106.31,1.2,1.162,2.501,DC,DC
479,3713352108.82,1.2,1.162,2.501,DC,DC
480,3713352111.36,1.2,1.162,2.501,DC,DC
481,3713352113.87,1.2,1.162,2.501,DC,DC
482,3713352116.4,1.2,1.162,2.501,DC,DC
483,3713352118.93,1.2,1.162,2.501,DC,DC
484,3713352121.46,1.2,1.162,2.501,DC,DC
485,3713352123.98,1.2,1.162,2.501,DC,DC
486,3713352126.51,1.2,1.162,2.501,DC,DC
487,3713352129.04,1.2,1.162,2.501,DC,DC
488,3713352131.56,1.2,1.162,2.501,DC,DC
489,3713352134.07,1.2,1.162,2.501,DC,DC
490,3713352136.57,1.2,1.162,2.501,DC,DC
491,3713352139.09,1.2,1.162,2.501,DC,DC
492,3713352141.61,1.2,1.162,2.501,DC,DC
493,3713352144.12,1.2,1.162,2.501,DC,DC
494,3713352146.64,1.2,1.162,2.501,DC,DC
495,3713352149.18,1.2,1.162,2.501,DC,DC
496,3713352151.71,1.2,1.162,2.501,DC,DC
497,3713352154.22,1.2,1.162,2.501,DC,DC
498,3713352156.76,1.2,1.162,2.501,DC,DC
499,3713352159.26,1.2,1.162,2.501,DC,DC
500,3713352161.78,1.2,1.162,2.501,DC,DC
501,3713352164.29,1.2,1.162,2.501,DC,DC
502,3713352166.81,1.2,1.162,2.501,DC,DC
503,3713352169.34,1.2,1.162,2.501,DC,DC
504,3713352171.85,1.2,1.162,2.501,DC,DC
505,3713352174.38,1.2,1.162,2.501,DC,DC
506,3713352176.89,1.2,1.162,2.501,DC,DC
507,3713352179.41,1.2,1.162,2.501,DC,DC
508,3713352181.94,1.2,1.162,2.501,DC,DC
